Date_Processed,SampleID,Trial,#eggs_chamber_1,#eggs_chamber2,total ,fecal_weight,notes,
06/30/18,PHAF38,2,0,5,5,2.05,,
06/30/18,KOEL35,1,0,2,2,2.02,,
06/30/18,KOEL35,2,1,6,7,2.02,,
06/30/18,PHAF39,1,4,3,7,1.99,,
06/30/18,PHAF39,2,3,4,7,1.98,,
06/30/18,PHAF33,1,11,13,24,1.96,,
06/30/18,PHAF33,2,14,6,20,2.02,,
06/30/18,OUOU25,1,9,16,25,1.98,,
06/30/18,OUOU25,2,26,13,39,2,,
06/30/18,REAR29,1,5,10,15,2.03,,
06/30/18,REAR29,2,4,6,10,2,,
06/30/18,TRSC16,1,0,0,0,2,Collar #32010,
06/30/18,KOEL32,1,1,0,1,2.02,,
06/30/18,KOEL32,2,0,0,0,1.98,,
06/30/18,OUOU29,1,1,4,5,1.99,,
06/30/18,OUOU29,2,6,2,8,2.02,,
06/30/18,KOEL34,1,1,1,2,2.02,,
06/30/18,KOEL34,2,3,2,5,2.02,,
06/30/18,PHAF35,1,9,3,12,2,,
06/30/18,PHAF35,2,2,3,5,2.02,,
06/30/18,AEME38,1,0,0,0,2,,
06/30/18,AEME38,2,0,0,0,1.69,24mL,
06/30/18,KOEL36,1,0,0,0,2.02,,
06/30/18,KOEL36,2,1,2,3,2.04,,
06/30/18,OUOU28,1,10,18,28,2.03,,
06/30/18,AEME39,1,5,2,7,1.99,,
06/30/18,PHAF31,1,5,1,6,1.44,20mL,
06/30/18,PHAF31,2,1,3,4,2.01,,
06/30/18,PHAF37,1,25,25,50,1.98,,
06/30/18,PHAF37,2,42,34,76,2.01,,
06/30/18,REAR28,1,5,5,10,2.01,,
06/30/18,REAR28,2,8,11,19,1.98,,
06/30/18,PHAF36,1,5,8,13,2.01,,
06/30/18,PHAF36,2,5,8,13,2.02,,
06/30/18,TRSC19,1,0,0,0,2,Collar #32012,
06/30/18,TRSC19,2,0,0,0,2.02,,
06/30/18,TRSC21,1,0,0,0,2.04,Collar #31473,
06/30/18,TRSC21,2,0,0,0,1.98,,
06/30/18,TRSC22,1,0,0,0,2,Collar #31765,
06/30/18,TRSC22,2,0,0,0,2,,
06/30/18,TRAN22,1,0,0,0,1.99,Collar #31760,
06/30/18,TRAN22,2,0,0,0,2.04,,
06/30/18,KOEL33,1,0,1,1,1.99,,
06/30/18,KOEL33,2,0,0,0,1.98,,
06/30/18,AEME37,1,0,0,0,1.99,,
06/30/18,AEME37,2,1,1,2,2.02,,
06/30/18,TRSC17,1,0,0,0,1.96,Collar #32004,
06/30/18,TRSC17,2,0,0,0,1.99,,
06/30/18,TRSC18,1,0,0,0,2.01,Collar #32006,
07/05/18,KOEL39,1,8,17,25,1.98,Dead,
07/07/18,TRSC47,1,0,0,0,1.98,#32012,
07/07/18,TRSC48,1,0,0,0,2.04,#32012,
07/07/18,TRSC49,1,0,0,0,2.04,#31759,
07/07/18,TRSC49,2,0,0,0,1.97,,
07/07/18,TRSC38,1,0,0,0,1.99,#31473,
07/07/18,TRSC38,2,0,0,0,1.01,14mL,
07/07/18,TRSC40,1,14,10,24,1.98,#32007,
07/07/18,TRSC34,1,0,0,0,2.01,#31471,
07/07/18,TRSC44,1,0,0,0,1.52,#31473, 21mL
07/07/18,OUOU23,1,6,4,10,1.97,,
07/07/18,OUOU23,2,4,3,7,1.98,,
07/07/18,REAR35,1,0,0,0,2.04,,
07/07/18,REAR35,2,0,0,0,2.01,,
07/07/18,TRST35,1,0,0,0,2.02,#31772,
07/07/18,TRST35,2,0,0,0,2.02,,
07/07/18,KOEL40,1,2,0,2,1.97,,
07/07/18,KOEL40,2,4,3,7,2.02,,
07/07/18,TRST34,1,0,0,0,1.98,#31771,
07/07/18,TRST34,2,0,0,0,2.02,,
