Date+AF8-Processed,SampleID,Trial,+ACM-eggs+AF8-chamber+AF8-1,+ACM-eggs+AF8-chamber2,total ,fecal+AF8-weight,notes,
06/30/19,KOEL27,1,3,8,11,2,,
06/30/19,KOEL27,2,3,3,6,2,,
06/30/19,PHAF23,1,22,21,43,2,,
06/30/19,PHAF23,2,29,25,54,2,,
06/30/19,TRSC21,1,0,0,0,2,,
06/30/19,TRSC21,2,0,0,0,1.6,22mL,
06/30/19,TRSC23,1,0,0,0,2,,
06/30/19,TRSC23,2,0,0,0,2,,
06/30/19,PHAF21,1,4,3,7,2,,
06/30/19,PHAF21,2,11,10,21,2,,
06/30/19,KOEL29,1,2,2,4,2,,
06/30/19,KOEL28,1,2,5,7,2,,
06/30/19,KOEL28,2,3,4,7,2,,
06/30/19,OUOU25,1,12,9,21,2,,
06/30/19,OUOU25,2,5,12,17,1.3,19mL,
06/30/19,PHAF22,1,0,1,1,2,,
06/30/19,PHAF22,2,5,5,10,2,,
06/30/19,AEME42,1,2,2,4,1,,
06/30/19,AEME38,1,1,1,2,2,,
06/30/19,AEME38,2,3,0,3,1.5,21mL,
06/30/19,AEME39,1,0,0,0,2,,
06/30/19,AEME39,2,3,1,4,1.2,16mL,
06/30/19,AEME35,1,2,0,2,2,,
06/30/19,AEME35,2,0,1,1,2,,
06/30/19,AEME33,1,2,2,4,2,,
06/30/19,AEME33,2,1,2,3,2,,
06/30/19,PHAF25,1,9,7,16,2,,
06/30/19,PHAF25,2,11,8,19,2,,
06/30/19,KOEL30,1,3,2,5,2,,
06/30/19,KOEL30,2,1,2,3,2,,
06/30/19,PHAF24,1,1,1,2,2,,
06/30/19,PHAF24,2,1,1,2,2,,
06/30/19,PHAF39,1,7,7,14,2,,
06/30/19,PHAF39,2,11,5,16,2,,
06/30/19,AEME37,1,0,0,0,2,,
06/30/19,REAR22,1,0,0,0,2,,
06/30/19,REAR22,2,2,1,3,2,,
06/30/19,TRSC22,1,0,1,1,2,,
06/30/19,TRSC24,1,0,0,0,2,,
06/30/19,TRSC24,2,0,0,0,2,,
06/30/19,TRAN21,1,0,0,0,1.5,21mL,
07/14/19,KOEL46,1,1,4,5,2.1,,
07/14/19,KOEL46,2,1,2,3,2,,
07/14/19,OUOU43,1,6,7,13,2,,
07/14/19,REAR35,1,4,2,6,2,,
07/14/19,REAR35,2,5,5,10,2,,
07/14/19,OUOU42,1,2,0,2,2,,
07/14/19,REAR40,1,1,0,1,2,,
07/14/19,REAR40,2,1,2,3,2,,
07/14/19,KOEL44,1,6,5,11,2,,
07/14/19,KOEL44,2,5,3,8,2,,
07/14/19,OUOU45,1,0,0,0,2,,
07/14/19,REAR42,1,0,0,0,2,,
07/14/19,REAR42,2,0,0,0,2,,
07/14/19,KOEL43,1,4,3,7,2,,
07/14/19,KOEL43,2,3,6,9,2,,
07/14/19,REAR34,1,0,2,2,2,,
07/14/19,REAR34,2,0,0,0,2,,
07/14/19,KOEL36,1,8,5,13,2,,
07/14/19,KOEL36,2,8,7,15,2,,
07/14/19,OUOU39,1,20,13,33,2,,
07/14/19,REAR33,1,6,9,15,2,,
07/14/19,REAR33,2,2,4,6,2,,
07/14/19,REAR45,1,1,0,1,2,,
07/14/19,REAR45,2,1,1,2,2,,
07/14/19,REAR44,1,3,8,11,2,,
07/14/19,REAR44,2,5,10,15,2,,
07/14/19,REAR41,1,5,2,7,2,,
07/14/19,REAR41,2,1,2,3,2,,
07/14/19,REAR43,1,5,0,5,2,,
07/14/19,REAR43,2,9,6,15,2,,
07/14/19,REAR36,1,34,34,68,1,14mL,
07/14/19,KOEL35,1,4,2,6,2,,
07/14/19,KOEL35,2,1,1,2,2,,
07/14/19,KOEL45,1,12,16,28,2,,
07/14/19,KOEL45,2,11,19,30,2,,
07/14/19,KOEL37,1,11,8,19,2,,
07/14/19,KOEL37,2,5,5,10,2,,
07/14/19,OUOU44,1,0,1,1,2,,
07/14/19,OUOU44,2,2,0,2,2,,
07/14/19,REAR27,1,16,6,22,2,,
07/14/19,REAR27,2,5,13,18,2,,
07/14/19,PHAF44,1,12,15,27,2,,
07/14/19,PHAF44,2,16,22,38,2,,
07/14/19,REAR38,1,0,1,1,1,14mL,
07/14/19,REAR25,1,5,4,9,2,,
07/14/19,REAR25,2,1,1,2,2,,
07/14/19,REAR28,1,21,12,33,1,14mL,
07/14/19,REAR26,1,3,1,4,2,,
07/14/19,REAR26,2,0,3,3,2,,
07/14/19,OUOU29,1,52,40,92,2,,
07/14/19,REAR31,1,1,1,2,2,,
07/14/19,REAR31,2,0,0,0,2,,
07/14/19,KOEL34,1,11,11,22,2,,
07/14/19,KOEL34,2,7,10,17,2,,
07/14/19,KOEL38,1,7,3,10,2,,
07/14/19,KOEL38,2,6,3,9,2,,
07/14/19,OUOU38,1,8,11,19,2,,
07/14/19,OUOU38,2,12,5,17,2,,
07/14/19,REAR39,1,0,0,0,2,,
07/14/19,KOEL41,1,13,9,22,2,,
07/14/19,KOEL41,2,5,11,16,2,,
07/14/19,REAR37,1,3,2,5,2,,
07/14/19,OUOU40,1,7,3,10,2,,
07/14/19,OUOU40,2,2,3,5,1,14mL,
07/14/19,PHAF41,1,12,13,25,2,,
07/14/19,PHAF41,2,9,14,23,2,,
07/14/19,OUOU30,1,42,39,81,2,,
07/14/19,OUOU30,2,46,58,104,2,,
07/15/19,KOEL39,1,2,0,2,2,,
07/15/19,KOEL39,2,0,1,1,2,,
07/15/19,OUOU32,1,16,13,29,2,,
07/15/19,OUOU32,2,10,21,31,2,,
07/15/19,OUOU34,1,14,6,20,2,,
07/15/19,OUOU34,2,7,7,14,2,,
07/15/19,REAR32,1,3,6,9,2,,
07/15/19,REAR32,2,5,6,11,2,,
07/15/19,OUOU33,1,13,20,33,2,,
07/15/19,PHAF45,1,1,2,3,2,,
07/15/19,PHAF45,2,0,0,0,2,,
07/15/19,REAR30,1,4,4,8,2,,
07/15/19,REAR30,2,12,8,20,2,,
07/15/19,REAR24,1,3,1,4,2,,
07/15/19,REAR24,2,0,1,1,2,,
07/15/19,KOEL42,1,8,11,19,2,,
07/15/19,KOEL42,2,8,5,13,2,,
07/15/19,PHAF42,1,2,6,8,2,,
07/15/19,PHAF42,2,7,8,15,2,,
07/15/19,OUOU36,1,2,8,10,2,,
07/15/19,OUOU36,2,6,4,10,1.5,21mL,
07/15/19,KOEL40,1,3,1,4,1,,
07/15/19,KOEL40,2,2,1,3,2,,
07/15/19,OUOU35,1,44,49,93,2,,
07/15/19,OUOU35,2,38,50,88,2,,
07/15/19,REAR29,1,0,1,1,2,,
07/15/19,REAR29,2,0,0,0,2,,
07/15/19,OUOU27,1,8,5,13,2,,
07/15/19,OUOU27,2,2,2,4,2,,
07/15/19,PHAF43,1,4,1,5,2,,
07/15/19,PHAF43,2,4,1,5,2,,
07/15/19,OUOU37,1,34,27,61,2,,
07/15/19,OUOU37,2,15,25,40,2,,
07/15/19,OUOU31,1,3,1,4,2,,
07/15/19,OUOU31,2,3,1,4,2,,
07/15/19,REAR23,1,4,1,5,2,,
07/15/19,REAR23,2,7,2,9,2,,
