"ID","EPG","fire","tree","river","road","urema","term100","term250","pan100","pan250","panlg100","panlg250"
"19_AEME25",369.45412311266,-1.28388452529907,-0.820870757102966,0.0449001416563988,-1.04895055294037,-1.13746356964111,-0.187445864081383,1.27099800109863,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_KOEL25",161.393678854916,-1.27709770202637,-1.10603582859039,-0.0275227036327124,-0.999253809452057,-1.16374921798706,1.01955604553223,0.950059950351715,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"19_AEME26",194.170810269881,-0.240074843168259,-1.59520173072815,0.313052296638489,-1.06917583942413,0.360016107559204,0.0832166150212288,1.07193410396576,-0.120975404977798,0.486418783664703,-0.0931912958621979,-0.15264618396759
"19_AEME27",138.478134594639,-0.796496272087097,-1.50447297096252,-0.000915837299544364,-1.02891111373901,-0.09687240421772,-0.531763076782227,-0.174315422773361,-0.120975404977798,1.31185007095337,-0.0931912958621979,1.04843580722809
"19_PHAF19",203.336303800635,-0.940857470035553,-0.811698377132416,0.191567897796631,-1.06452417373657,-0.192313715815544,-0.44569131731987,0.357435077428818,-0.120975404977798,0.573306202888489,-0.0931912958621979,0.418415278196335
"19_AEME28",115.626488021937,-1.05550646781921,-1.45043122768402,0.318021595478058,-0.933290064334869,-0.364421218633652,-0.608943581581116,-0.594935238361359,2.57912468910217,3.48645114898682,1.56829500198364,2.69760751724243
"19_REAR18",1745.91444074128,-0.736480057239532,-1.13435244560242,0.147303014993668,-0.794658780097961,-0.40795049071312,-0.167592614889145,0.0925506800413132,0.506476402282715,1.99005520343781,-0.0931912958621979,1.04675126075745
"19_REAR19",2389.74358974359,-0.758174657821655,-1.12223792076111,0.153014734387398,-0.799593091011047,-0.404675126075745,-0.308956563472748,0.0182158555835485,0.506476402282715,1.6883624792099,-0.0931912958621979,0.600346386432648
"19_AEME29",47.3773265651438,-0.782984852790833,-0.452969253063202,0.151012927293777,-0.798902213573456,-0.394124746322632,-0.269233673810959,-0.0921718776226044,0.856203734874725,2.00936365127563,-0.0931912958621979,0.532964468002319
"19_REAR20",100.529100529101,-0.724047899246216,-0.796246767044067,-0.406160533428192,-0.926816940307617,-0.416036128997803,0.513386070728302,0.594900190830231,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
